"","Internal.ID","Domain","Domain_n"
"1",25043215,"kinesiology","Other"
"2",25088130,"Education","Other"
"3",25036445,"Astronomy","Other"
"4",25042362,"All (VPRI)","Other"
"5",25269151,"IT","Other"
"6",25327131,"N/A - supports all domains","Other"
"7",25354659,"Business; Law","Other"
"8",25050487,"Film and Cinema Studies, Anthropology","Other"
"9",25290584,"financial","Other"
"10",25128183,"Library and Information Science","Other"
"11",25232183,"Artificial Intelligence","Other"
"12",25080064,"Research support","Other"
"13",25186199,"Data Science & Computer Science","Other"
"14",25253792,"Technology with a conscience","Other"
"15",25294350,"Research computing support provided university-wide","Other"
"16",25343203,"staff","Other"
"17",25362317,"Libraries, archives","Other"
